name,owner,description,html_url,readme_url
QuNetSim,tqsd,A quantum network simulation framework.,https://github.com/tqsd/QuNetSim,https://github.com/tqsd/QuNetSim/blob/master/README.md
quantum,tensorly,Tensor-Based Quantum Machine Learning,https://github.com/tensorly/quantum,https://github.com/tensorly/quantum/blob/main/README.rst
quantum,tensorly,Tensor-Based Quantum Machine Learning,https://github.com/tensorly/quantum,https://github.com/tensorly/quantum/blob/master/README.rst
PQCrypto-LWEKE,microsoft,FrodoKEM: Learning with Errors Key Encapsulation. FrodoKEM is a family of key-encapsulation mechanisms that are designed to be conservative yet practical post-quantum constructions whose security derives from cautious parameterizations of the well-studied learning with errors problem.,https://github.com/microsoft/PQCrypto-LWEKE,https://github.com/microsoft/PQCrypto-LWEKE/blob/master/README.md
MPSKit.jl,maartenvd,Contains code for tackling 1 dimensional (quantum) problems using tensor network algorithms.,https://github.com/maartenvd/MPSKit.jl,https://github.com/maartenvd/MPSKit.jl/blob/master/README.md
openqaoa,entropicalabs,Multi-backend SDK for quantum optimisation,https://github.com/entropicalabs/openqaoa,https://github.com/entropicalabs/openqaoa/blob/main/README.md
openqaoa,entropicalabs,Multi-backend SDK for quantum optimisation,https://github.com/entropicalabs/openqaoa,https://github.com/entropicalabs/openqaoa/blob/master/README.md
dynamiqs,dynamiqs,High-performance quantum systems simulation with JAX (GPU-accelerated & differentiable solvers).,https://github.com/dynamiqs/dynamiqs,https://github.com/dynamiqs/dynamiqs/blob/main/README.md
dynamiqs,dynamiqs,High-performance quantum systems simulation with JAX (GPU-accelerated & differentiable solvers).,https://github.com/dynamiqs/dynamiqs,https://github.com/dynamiqs/dynamiqs/blob/master/README.md
quantum_computing_course2023,gitkarma,Course Material for the online short course on Quantum Computing Using QSim,https://github.com/gitkarma/quantum_computing_course2023,https://github.com/gitkarma/quantum_computing_course2023/blob/main/README.md
quantum_computing_course2023,gitkarma,Course Material for the online short course on Quantum Computing Using QSim,https://github.com/gitkarma/quantum_computing_course2023,https://github.com/gitkarma/quantum_computing_course2023/blob/master/README.md
QuantumLattices.jl,Quantum-Many-Body,Julia package for the construction of quantum lattice systems.,https://github.com/Quantum-Many-Body/QuantumLattices.jl,https://github.com/Quantum-Many-Body/QuantumLattices.jl/blob/master/README.md
crystals-kyber-javascript,antontutoveanu,JavaScript implementation of CRYSTALS-KYBER (version 3) post-quantum key exchange algorithm.,https://github.com/antontutoveanu/crystals-kyber-javascript,https://github.com/antontutoveanu/crystals-kyber-javascript/blob/main/README.md
crystals-kyber-javascript,antontutoveanu,JavaScript implementation of CRYSTALS-KYBER (version 3) post-quantum key exchange algorithm.,https://github.com/antontutoveanu/crystals-kyber-javascript,https://github.com/antontutoveanu/crystals-kyber-javascript/blob/master/README.md
QMOF,Andrew-S-Rosen,The QMOF Database: A database of quantum-mechanical properties for metal-organic frameworks.,https://github.com/Andrew-S-Rosen/QMOF,https://github.com/Andrew-S-Rosen/QMOF/blob/main/README.md
QMOF,Andrew-S-Rosen,The QMOF Database: A database of quantum-mechanical properties for metal-organic frameworks.,https://github.com/Andrew-S-Rosen/QMOF,https://github.com/Andrew-S-Rosen/QMOF/blob/master/README.md
qiskit.org,Qiskit,The Qiskit official website,https://github.com/Qiskit/qiskit.org,https://github.com/Qiskit/qiskit.org/blob/main/README.md
qiskit.org,Qiskit,The Qiskit official website,https://github.com/Qiskit/qiskit.org,https://github.com/Qiskit/qiskit.org/blob/master/README.md
Xanadu-Quantum-Codebook,XanaduAI,Learn quantum computing interactively with PennyLane,https://github.com/XanaduAI/Xanadu-Quantum-Codebook,https://github.com/XanaduAI/Xanadu-Quantum-Codebook/blob/main/README.md
Xanadu-Quantum-Codebook,XanaduAI,Learn quantum computing interactively with PennyLane,https://github.com/XanaduAI/Xanadu-Quantum-Codebook,https://github.com/XanaduAI/Xanadu-Quantum-Codebook/blob/master/README.md
quil,quil-lang,Specification of Quil: A Practical Quantum Instruction Set Architecture,https://github.com/quil-lang/quil,https://github.com/quil-lang/quil/blob/master/README.md
TBTK,dafer45,A C++ library for solving second-quantized Hamiltonians,https://github.com/dafer45/TBTK,https://github.com/dafer45/TBTK/blob/master/README.md
qutip-qip,qutip,The QuTiP quantum information processing package,https://github.com/qutip/qutip-qip,https://github.com/qutip/qutip-qip/blob/master/README.md
qio-haskell,alexandersgreen,"The Quantum IO Monad, implemented in Haskell",https://github.com/alexandersgreen/qio-haskell,https://github.com/alexandersgreen/qio-haskell/blob/master/README.md
